,location,date,time,harassment_type,reported_by,description
2767,"Hubli-Dharwad, India",2023-11-07,02:46:02,domestic_violence,victim,The victim reported repeated physical abuse at home.
2768,"Aurangabad, India",2023-02-18,11:55:51,cybercrime,victim,The victim’s social media account was hacked and misused.
2769,"Vasai-Virar, India",2020-11-02,09:47:28,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
2770,"Nagpur, India",2020-01-31,05:43:28,drug_offense,non-victim,Police seized a large quantity of banned drugs.
2771,"Melbourne, Australia",2022-08-05,21:14:26,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
2772,"Meerut, India",2021-07-07,05:02:23,arson,victim,The victim’s property was intentionally burned down.
2773,"Nagpur, India",2020-11-07,07:47:35,homicide,victim,The victim was fatally attacked by an unknown suspect.
2774,"Dallas, USA",2022-09-24,17:43:09,sexual_assault,non-victim,The victim reported unwanted physical advances by the suspect.
2775,"Montpellier, France",2020-03-16,01:37:49,extortion,non-victim,The victim was coerced into handing over valuable property.
2776,"Dhanbad, India",2023-07-10,21:14:01,illegal_possession,victim,A suspect was arrested for possessing illegal substances.
2777,"Sheffield, UK",2024-12-01,23:31:12,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
2778,"Nagoya, Japan",2024-07-17,03:08:24,arson,victim,"A building was deliberately set on fire, causing significant damage."
2779,"Bhopal, India",2021-10-06,09:43:45,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
2780,"Raipur, India",2020-03-07,00:43:23,illegal_possession,victim,A suspect was arrested for possessing illegal substances.
2781,"Gold Coast, Australia",2021-10-18,01:45:04,arson,victim,The victim’s property was intentionally burned down.
2782,"Sapporo, Japan",2021-11-11,10:20:16,burglary,victim,A suspect broke into the victim's house and stole valuables.
2783,"Lille, France",2023-08-18,00:03:53,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
2784,"Aurangabad, India",2023-02-26,04:30:38,homicide,victim,The victim was fatally attacked by an unknown suspect.
2785,"Tokyo, Japan",2024-07-03,16:04:54,illegal_possession,victim,Police confiscated unauthorized materials from the suspect.
2786,"Kobe, Japan",2024-08-04,12:46:59,vandalism,victim,A suspect was caught damaging parked vehicles in the area.
2787,"Bristol, UK",2020-11-06,11:34:51,public_intoxication,victim,A disorderly individual was escorted away by authorities.
2788,"Houston, USA",2023-10-04,19:10:42,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
2789,"Jaipur, India",2021-09-25,23:52:28,fraud,non-victim,A business reported fraudulent transactions in their records.
2790,"Pune, India",2023-03-23,02:46:57,assault,non-victim,The victim was physically attacked in a public area.
2791,"New York City, USA",2024-10-06,14:14:12,drug_offense,victim,An individual was found in possession of narcotics during a search.
2792,"San Jose, USA",2022-07-05,13:38:07,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
2793,"Strasbourg, France",2023-12-03,15:28:55,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
2794,"Bordeaux, France",2020-01-30,16:39:25,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
2795,"Bordeaux, France",2022-03-17,14:39:52,fraud,victim,A business reported fraudulent transactions in their records.
2796,"Jodhpur, India",2024-06-04,00:06:56,cybercrime,non-victim,The victim’s social media account was hacked and misused.
2797,"Leeds, UK",2021-02-22,23:27:43,fraud,victim,The victim was scammed into transferring money to a fake account.
2798,"Gold Coast, Australia",2020-05-20,07:32:30,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
2799,"Solapur, India",2022-04-22,15:38:31,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
2800,"Nagoya, Japan",2024-11-03,01:32:53,extortion,non-victim,The victim received threats demanding money for safety.
2801,"Edinburgh, UK",2020-06-14,22:16:31,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
2802,"Vasai-Virar, India",2022-01-17,11:42:05,sexual_assault,non-victim,The victim reported unwanted physical advances by the suspect.
2803,"Brisbane, Australia",2021-08-22,19:41:29,sexual_assault,non-victim,The victim was harassed in a public place by an unknown person.
2804,"San Jose, USA",2021-03-27,01:43:12,robbery,non-victim,A suspect threatened the victim and stole their belongings.
2805,"Kota, India",2023-11-10,16:29:29,extortion,victim,The victim received threats demanding money for safety.
2806,"Chennai, India",2020-05-07,05:49:55,sexual_assault,non-victim,The victim reported unwanted physical advances by the suspect.
2807,"Birmingham, UK",2023-07-17,08:41:38,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
2808,"Kobe, Japan",2020-09-16,04:57:45,extortion,victim,The victim received threats demanding money for safety.
2809,"Montpellier, France",2020-09-24,14:56:15,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
2810,"Canberra, Australia",2022-11-09,17:45:15,fraud,non-victim,A suspect created false documents to claim financial benefits.
2811,"Navi Mumbai, India",2020-08-14,18:37:30,illegal_possession,victim,A suspect was arrested for possessing illegal substances.
2812,"Birmingham, UK",2020-02-26,01:39:08,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
2813,"Allahabad, India",2024-04-13,11:10:50,burglary,non-victim,The victim reported unauthorized entry into their apartment.
2814,"Kolkata, India",2020-05-01,13:56:59,vandalism,non-victim,Public property was defaced with graffiti and damage.
2815,"Nagoya, Japan",2022-03-01,23:37:43,domestic_violence,victim,The victim reported repeated physical abuse at home.
2816,"Nantes, France",2024-02-23,14:04:34,domestic_violence,victim,The victim reported repeated physical abuse at home.
2817,"San Jose, USA",2023-05-24,20:57:43,cybercrime,non-victim,Personal data was stolen through an online scam.
2818,"Patna, India",2025-01-16,09:36:50,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
2819,"Gwalior, India",2024-04-21,05:17:15,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
2820,"Nashik, India",2020-12-08,18:28:08,counterfeiting,non-victim,Fake currency notes were found in a local shop.
2821,"Navi Mumbai, India",2023-12-21,07:17:35,counterfeiting,victim,Fake currency notes were found in a local shop.
2822,"Perth, Australia",2021-11-23,00:53:42,burglary,victim,The victim reported unauthorized entry into their apartment.
2823,"Solapur, India",2022-01-10,21:53:01,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
2824,"Madurai, India",2023-12-21,04:10:49,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
2825,"Sydney, Australia",2024-05-19,10:35:44,drug_offense,victim,An individual was found in possession of narcotics during a search.
2826,"Varanasi, India",2022-07-03,12:21:42,homicide,victim,The victim was fatally attacked by an unknown suspect.
2827,"Hyderabad, India",2023-02-24,13:28:08,robbery,non-victim,A suspect threatened the victim and stole their belongings.
2828,"Delhi, India",2023-10-06,18:02:06,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
2829,"Raipur, India",2020-06-10,12:50:24,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
2830,"Patna, India",2021-03-04,20:50:46,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
2831,"Vasai-Virar, India",2024-06-25,15:57:26,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
2832,"Nagpur, India",2021-03-27,02:27:32,fraud,non-victim,The victim was scammed into transferring money to a fake account.
2833,"Adelaide, Australia",2021-09-04,14:59:22,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
2834,"Philadelphia, USA",2023-10-19,13:54:46,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
2835,"Lyon, France",2022-01-30,06:05:13,shoplifting,victim,The victim’s business suffered repeated theft incidents.
2836,"Jaipur, India",2021-12-10,14:53:51,public_intoxication,victim,A disorderly individual was escorted away by authorities.
2837,"Patna, India",2021-12-30,16:27:57,traffic_violation,non-victim,A suspect was fined for reckless driving.
2838,"Manchester, UK",2022-07-25,23:00:45,cybercrime,non-victim,Personal data was stolen through an online scam.
2839,"Los Angeles, USA",2020-08-01,20:02:34,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
2840,"Bordeaux, France",2021-06-05,19:10:41,domestic_violence,non-victim,The victim suffered emotional and physical abuse over months.
2841,"Pimpri-Chinchwad, India",2021-11-17,02:44:58,vehicle_stolen,victim,Authorities recovered a stolen vehicle from a hidden location.
2842,"Montpellier, France",2021-10-12,16:03:08,burglary,victim,Burglars were caught on CCTV entering a local business at night.
2843,"Jodhpur, India",2022-06-06,15:40:35,extortion,non-victim,The victim was coerced into handing over valuable property.
2844,"Lyon, France",2020-12-12,05:41:40,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
2845,"Bordeaux, France",2024-08-28,02:53:26,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
2846,"Mumbai, India",2021-04-15,04:40:29,arson,victim,The victim’s property was intentionally burned down.
2847,"Sheffield, UK",2022-08-04,22:40:52,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
2848,"Visakhapatnam, India",2020-09-27,10:05:28,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
2849,"Lyon, France",2022-03-08,23:48:19,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
2850,"Tokyo, Japan",2021-05-21,21:30:44,cybercrime,non-victim,The victim’s social media account was hacked and misused.
2851,"Gold Coast, Australia",2020-05-07,15:15:30,robbery,victim,The victim was attacked and had their wallet taken by force.
2852,"Madurai, India",2023-09-14,10:59:37,robbery,non-victim,The victim was attacked and had their wallet taken by force.
2853,"Thane, India",2024-01-06,04:23:41,cybercrime,victim,The victim’s social media account was hacked and misused.
2854,"Lille, France",2021-04-23,08:42:47,identity_theft,non-victim,An individual’s identity was stolen for online fraud.
2855,"Philadelphia, USA",2024-10-29,05:18:08,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
2856,"Chicago, USA",2020-09-05,03:29:33,arson,victim,"A building was deliberately set on fire, causing significant damage."
2857,"Pune, India",2024-03-07,17:21:32,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
2858,"London, UK",2021-07-15,21:02:21,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
2859,"Sheffield, UK",2020-07-19,06:01:32,cybercrime,non-victim,The victim’s social media account was hacked and misused.
2860,"Paris, France",2021-07-27,23:56:02,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
2861,"Varanasi, India",2022-10-19,07:06:48,domestic_violence,non-victim,The victim reported repeated physical abuse at home.
2862,"Perth, Australia",2022-12-29,11:14:32,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
2863,"Delhi, India",2020-04-05,00:45:14,cybercrime,non-victim,The victim’s social media account was hacked and misused.
2864,"Birmingham, UK",2023-06-04,00:33:21,robbery,victim,A store was robbed at gunpoint late at night.
2865,"Allahabad, India",2023-01-27,21:25:44,assault,victim,The victim was physically attacked in a public area.
2866,"Marseille, France",2022-04-20,19:30:59,robbery,non-victim,A suspect threatened the victim and stole their belongings.
2867,"Chennai, India",2024-03-24,04:28:07,cybercrime,non-victim,The victim’s social media account was hacked and misused.
2868,"Adelaide, Australia",2023-01-20,05:09:32,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
2869,"Visakhapatnam, India",2023-12-13,18:08:55,drug_offense,non-victim,Police seized a large quantity of banned drugs.
2870,"Lyon, France",2023-12-23,07:25:06,counterfeiting,victim,Fake currency notes were found in a local shop.
2871,"Jaipur, India",2022-04-13,23:58:05,kidnapping,victim,The victim was forcefully taken and held for ransom.
2872,"Mumbai, India",2023-08-31,05:52:47,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
2873,"Canberra, Australia",2020-05-20,22:57:52,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
2874,"Sapporo, Japan",2020-09-25,01:53:49,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
2875,"Nantes, France",2021-12-10,19:53:34,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
2876,"Vasai-Virar, India",2023-01-25,05:55:03,burglary,victim,Burglars were caught on CCTV entering a local business at night.
2877,"Coimbatore, India",2020-05-15,08:59:55,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
2878,"Srinagar, India",2023-04-18,00:23:05,drug_offense,non-victim,Police seized a large quantity of banned drugs.
2879,"Dhanbad, India",2024-11-25,04:29:10,vandalism,non-victim,Public property was defaced with graffiti and damage.
2880,"Nantes, France",2023-01-21,14:34:35,extortion,victim,The victim received threats demanding money for safety.
2881,"Glasgow, UK",2020-04-06,06:22:18,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
2882,"Philadelphia, USA",2020-11-05,17:10:58,fraud,non-victim,The victim was scammed into transferring money to a fake account.
2883,"Madurai, India",2024-01-19,13:26:30,fraud,victim,The victim was scammed into transferring money to a fake account.
2884,"Newcastle, Australia",2022-07-06,15:24:18,kidnapping,victim,A child was abducted near a school by an unknown suspect.
2885,"Mumbai, India",2024-11-03,04:11:52,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
2886,"Solapur, India",2021-03-06,16:39:53,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
2887,"Kolkata, India",2024-07-18,12:07:33,kidnapping,non-victim,The victim was forcefully taken and held for ransom.
2888,"Chicago, USA",2023-11-14,03:23:57,drug_offense,victim,Police seized a large quantity of banned drugs.
2889,"Sydney, Australia",2020-01-07,05:24:05,assault,victim,The victim was physically attacked in a public area.
2890,"Perth, Australia",2020-12-14,02:39:18,cybercrime,victim,The victim’s social media account was hacked and misused.
2891,"Dhanbad, India",2022-05-15,05:34:23,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
2892,"Phoenix, USA",2024-02-03,00:06:26,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
2893,"Montpellier, France",2023-11-30,08:40:46,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
2894,"Solapur, India",2024-08-20,07:17:45,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
2895,"Liverpool, UK",2020-02-11,00:18:43,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
2896,"Dhanbad, India",2021-09-05,02:41:08,cybercrime,non-victim,A phishing email tricked the victim into revealing bank details.
2897,"Birmingham, UK",2022-06-22,02:55:12,cybercrime,non-victim,Personal data was stolen through an online scam.
2898,"Edinburgh, UK",2022-03-30,17:37:59,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
2899,"Howrah, India",2023-12-20,19:18:37,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
2900,"Logan City, Australia",2020-03-07,05:39:09,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
2901,"Amritsar, India",2022-09-28,15:35:52,extortion,victim,A suspect blackmailed a businessman for protection fees.
2902,"Kyoto, Japan",2024-08-23,08:09:29,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
2903,"Navi Mumbai, India",2020-02-15,03:11:36,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
2904,"Sheffield, UK",2020-03-09,06:45:10,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
2905,"Patna, India",2023-01-28,07:10:12,homicide,victim,A suspect was arrested in connection with a murder case.
2906,"Faridabad, India",2020-04-11,13:17:57,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
2907,"New York City, USA",2023-07-19,21:38:01,kidnapping,victim,A child was abducted near a school by an unknown suspect.
2908,"Toulouse, France",2023-01-30,22:57:48,assault,victim,The victim was physically attacked in a public area.
2909,"Glasgow, UK",2024-01-19,04:18:31,assault,victim,The victim sustained injuries after being assaulted by a stranger.
2910,"Rajkot, India",2024-03-22,00:31:09,shoplifting,victim,The victim’s business suffered repeated theft incidents.
2911,"Agra, India",2024-04-21,08:39:11,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
2912,"Kolkata, India",2023-05-20,07:12:47,robbery,victim,A suspect threatened the victim and stole their belongings.
2913,"Bordeaux, France",2023-08-21,16:21:53,burglary,victim,A suspect broke into the victim's house and stole valuables.
2914,"Jabalpur, India",2022-09-29,13:23:58,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
2915,"Gwalior, India",2022-11-14,09:17:04,extortion,victim,The victim received threats demanding money for safety.
2916,"San Jose, USA",2023-05-21,15:04:55,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
2917,"Paris, France",2022-06-24,15:46:39,counterfeiting,non-victim,A large batch of fake identification documents was seized.
2918,"Lyon, France",2020-03-29,10:43:04,illegal_possession,victim,A suspect was arrested for possessing illegal substances.
2919,"Sydney, Australia",2024-05-25,21:42:01,assault,victim,The victim sustained injuries after being assaulted by a stranger.
2920,"Pune, India",2024-09-18,13:24:20,arson,non-victim,The victim’s property was intentionally burned down.
2921,"Patna, India",2020-09-20,17:21:48,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
2922,"Indore, India",2023-05-22,14:34:51,traffic_violation,victim,"An individual ran a red light, causing a near accident."
2923,"Glasgow, UK",2023-03-13,01:26:21,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
2924,"Jodhpur, India",2021-06-07,21:43:59,vandalism,victim,A suspect was caught damaging parked vehicles in the area.
2925,"Cardiff, UK",2021-09-18,23:40:37,kidnapping,victim,The victim was forcefully taken and held for ransom.
2926,"Los Angeles, USA",2022-04-25,01:56:01,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
2927,"Faridabad, India",2020-11-29,21:37:24,traffic_violation,victim,A driver was caught speeding in a restricted area.
2928,"Raipur, India",2024-09-25,03:14:55,vehicle_stolen,victim,Authorities recovered a stolen vehicle from a hidden location.
2929,"San Jose, USA",2023-09-21,13:45:25,kidnapping,non-victim,The victim was forcefully taken and held for ransom.
2930,"Glasgow, UK",2020-10-21,10:23:26,cybercrime,victim,Personal data was stolen through an online scam.
2931,"Osaka, Japan",2020-09-25,05:10:51,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
2932,"Ghaziabad, India",2024-05-12,17:28:05,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
2933,"Kawasaki, Japan",2021-04-05,13:27:21,sexual_assault,victim,The victim was harassed in a public place by an unknown person.
2934,"Wollongong, Australia",2023-11-27,22:51:02,homicide,non-victim,A suspect was arrested in connection with a murder case.
2935,"Indore, India",2024-05-06,18:56:33,robbery,victim,The victim was attacked and had their wallet taken by force.
2936,"Tokyo, Japan",2024-02-08,07:13:58,illegal_possession,victim,Police confiscated unauthorized materials from the suspect.
2937,"Rajkot, India",2023-02-06,00:22:15,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
2938,"Edinburgh, UK",2022-10-29,13:07:11,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
2939,"Hubli-Dharwad, India",2022-09-17,04:27:08,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
2940,"Lucknow, India",2024-06-06,22:19:35,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
2941,"Chicago, USA",2020-04-01,22:27:24,robbery,non-victim,A store was robbed at gunpoint late at night.
2942,"Bangalore, India",2023-03-29,14:47:26,homicide,victim,"A body was discovered at the crime scene, leading to an investigation."
2943,"Jabalpur, India",2024-11-26,13:35:05,cybercrime,victim,Personal data was stolen through an online scam.
2944,"Bordeaux, France",2024-07-09,00:57:29,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
2945,"Nagoya, Japan",2020-02-12,09:06:03,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
2946,"Pune, India",2022-10-14,09:33:22,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
2947,"Pune, India",2021-06-10,12:26:50,extortion,victim,The victim received threats demanding money for safety.
2948,"Chicago, USA",2021-06-22,01:34:53,drug_offense,non-victim,Police seized a large quantity of banned drugs.
2949,"Raipur, India",2021-12-28,21:17:33,arson,non-victim,The victim’s property was intentionally burned down.
2950,"Jodhpur, India",2020-07-18,08:53:40,arson,victim,"A building was deliberately set on fire, causing significant damage."
2951,"Amritsar, India",2022-03-18,09:36:26,extortion,victim,The victim was coerced into handing over valuable property.
2952,"Tokyo, Japan",2024-04-18,20:00:30,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
2953,"London, UK",2022-08-18,01:59:00,sexual_assault,victim,A suspect was arrested for inappropriate behavior towards a minor.
2954,"Chandigarh, India",2022-01-18,02:37:57,traffic_violation,non-victim,A suspect was fined for reckless driving.
2955,"Jodhpur, India",2021-07-11,22:29:11,extortion,victim,The victim received threats demanding money for safety.
2956,"Nagpur, India",2024-11-16,14:25:28,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
2957,"Nice, France",2024-04-09,05:45:10,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
2958,"Patna, India",2023-12-18,02:53:16,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
2959,"Gold Coast, Australia",2021-01-08,15:48:41,fraud,victim,A suspect created false documents to claim financial benefits.
2960,"Nagoya, Japan",2023-08-10,07:16:32,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
2961,"Dhanbad, India",2024-12-29,19:49:46,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
2962,"Amritsar, India",2020-07-30,06:49:53,sexual_assault,non-victim,The victim was harassed in a public place by an unknown person.
2963,"Cardiff, UK",2024-02-21,02:52:36,shoplifting,victim,A suspect was caught stealing items from a retail store.
2964,"Canberra, Australia",2024-12-23,13:26:44,vandalism,victim,A suspect was caught damaging parked vehicles in the area.
2965,"Jaipur, India",2023-03-29,07:49:51,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
2966,"Liverpool, UK",2021-09-21,06:52:31,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
2967,"Adelaide, Australia",2022-02-09,12:16:48,domestic_violence,non-victim,The victim suffered emotional and physical abuse over months.
2968,"Lyon, France",2024-10-17,23:23:07,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
2969,"Nantes, France",2021-12-03,19:34:37,cybercrime,non-victim,The victim’s social media account was hacked and misused.
2970,"Yokohama, Japan",2020-10-03,18:50:06,drug_offense,victim,Police seized a large quantity of banned drugs.
2971,"Liverpool, UK",2022-08-29,06:48:35,fraud,non-victim,A suspect created false documents to claim financial benefits.
2972,"Rajkot, India",2022-11-29,10:35:13,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
2973,"Coimbatore, India",2023-10-28,01:05:07,robbery,non-victim,The victim was attacked and had their wallet taken by force.
2974,"Sydney, Australia",2025-01-30,00:16:55,assault,non-victim,The victim was physically attacked in a public area.
2975,"Brisbane, Australia",2021-06-27,04:55:15,vandalism,victim,A suspect was caught damaging parked vehicles in the area.
2976,"Newcastle, Australia",2020-12-13,16:31:42,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
2977,"Sapporo, Japan",2022-12-31,15:44:19,extortion,victim,The victim was coerced into handing over valuable property.
2978,"Glasgow, UK",2021-09-09,16:24:33,robbery,non-victim,A store was robbed at gunpoint late at night.
2979,"Thane, India",2020-06-20,03:03:34,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
2980,"San Jose, USA",2023-04-24,19:51:22,robbery,victim,The victim was attacked and had their wallet taken by force.
2981,"Visakhapatnam, India",2023-08-24,21:39:22,vandalism,non-victim,Public property was defaced with graffiti and damage.
2982,"Dallas, USA",2020-09-19,19:22:26,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
2983,"Bangalore, India",2020-07-19,23:12:29,cybercrime,victim,Personal data was stolen through an online scam.
2984,"Hyderabad, India",2021-11-22,12:40:27,cybercrime,victim,The victim’s social media account was hacked and misused.
2985,"Ahmedabad, India",2023-11-25,02:39:49,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
2986,"Lyon, France",2023-10-19,01:58:25,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
2987,"Canberra, Australia",2021-06-15,15:11:19,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
2988,"Bangalore, India",2023-07-21,04:47:59,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
2989,"Solapur, India",2022-11-06,03:11:43,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
2990,"Chennai, India",2022-06-15,21:07:07,traffic_violation,non-victim,A suspect was fined for reckless driving.
2991,"Pimpri-Chinchwad, India",2021-07-11,12:40:08,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
2992,"Nagpur, India",2024-11-22,08:56:49,arson,victim,The victim’s property was intentionally burned down.
2993,"Hyderabad, India",2022-04-19,20:12:35,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
2994,"Chennai, India",2024-12-09,01:34:26,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
2995,"Gold Coast, Australia",2024-03-26,00:37:06,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
2996,"Houston, USA",2023-03-04,12:26:49,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
2997,"Gold Coast, Australia",2021-05-20,16:46:50,vandalism,victim,Public property was defaced with graffiti and damage.
2998,"Newcastle, Australia",2023-04-10,11:07:42,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
2999,"San Diego, USA",2023-06-28,06:55:54,robbery,victim,A store was robbed at gunpoint late at night.
3000,"Montpellier, France",2023-03-14,09:20:16,fraud,non-victim,A business reported fraudulent transactions in their records.
3001,"Visakhapatnam, India",2021-11-10,14:46:53,cybercrime,non-victim,A phishing email tricked the victim into revealing bank details.
3002,"Bristol, UK",2025-01-18,12:19:40,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
3003,"Nagoya, Japan",2025-01-03,23:56:52,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
3004,"Pune, India",2020-04-06,16:50:16,extortion,victim,The victim was coerced into handing over valuable property.
3005,"Nice, France",2022-10-05,21:47:52,cybercrime,victim,The victim’s social media account was hacked and misused.
3006,"Vasai-Virar, India",2023-02-20,21:41:57,drug_offense,victim,Police seized a large quantity of banned drugs.
3007,"Tokyo, Japan",2022-07-30,18:17:16,vehicle_stolen,non-victim,A suspect stole a car from a parking lot.
3008,"Strasbourg, France",2022-12-18,10:29:11,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
3009,"Vadodara, India",2022-02-08,08:20:35,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
3010,"Newcastle, Australia",2024-08-27,16:35:36,identity_theft,victim,A suspect was caught using someone else’s credentials illegally.
3011,"Hubli-Dharwad, India",2023-11-27,17:36:11,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
3012,"Surat, India",2024-08-11,14:17:30,sexual_assault,non-victim,The victim was harassed in a public place by an unknown person.
3013,"Jabalpur, India",2021-07-26,03:39:39,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
3014,"Melbourne, Australia",2024-11-12,14:41:48,drug_offense,victim,Police seized a large quantity of banned drugs.
3015,"Philadelphia, USA",2022-02-13,18:16:15,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
3016,"Amritsar, India",2022-07-17,11:36:39,domestic_violence,victim,The victim reported repeated physical abuse at home.
3017,"Cardiff, UK",2022-01-21,07:15:51,sexual_assault,victim,The victim was harassed in a public place by an unknown person.
3018,"Lucknow, India",2023-10-02,15:22:08,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
3019,"Yokohama, Japan",2023-04-23,01:51:57,extortion,non-victim,A suspect blackmailed a businessman for protection fees.
3020,"Melbourne, Australia",2024-10-02,16:03:50,drug_offense,non-victim,Police seized a large quantity of banned drugs.
3021,"Birmingham, UK",2020-06-23,00:35:44,kidnapping,victim,A child was abducted near a school by an unknown suspect.
3022,"Dhanbad, India",2021-01-05,08:35:16,robbery,victim,The victim was attacked and had their wallet taken by force.
3023,"Canberra, Australia",2020-06-01,11:47:38,arson,non-victim,The victim’s property was intentionally burned down.
3024,"Madurai, India",2024-04-22,05:33:30,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
